# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'task-clock'
# Event count (approx.): 58808080220
#
# Overhead  Command          Shared Object                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  .................................................  ..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x000000000022126b
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409eb8
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000409f1c
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000426ca9
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x00000000004618ab
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d2b8
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000f9d3fc
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb1147
     0.03%  VLLM::EngineCor  libcuda.so.580.105.08                              [.] 0x0000000000fb11fd
     0.03%  VLLM::EngineCor  libcudart.so.13                                    [.] 0x0000000000026e50
     0.03%  VLLM::EngineCor  libtorch_cpu.so                                    [.] at::detail::empty_strided_generic(c10::ArrayRef<long>, c10::ArrayRef<long>, c10::Allocator*, c10::DispatchKeySet, c10::ScalarType)
     0.03%  VLLM::EngineCor  libtorch_cpu.so                                    [.] torch::autograd::DifferentiableViewMeta::DifferentiableViewMeta(c10::TensorImpl*, std::optional<torch::autograd::ViewInfo>, std::optional<torch::autograd::ViewInfo>, bool, torch::autograd::CreationMeta)
     0.03%  VLLM::EngineCor  libtorch_cuda.so                                   [.] at::(anonymous namespace)::structured_lt_Tensor_out_functional::set_output_raw_strided(long, c10::ArrayRef<long>, c10::ArrayRef<long>, c10::TensorOptions, c10::ArrayRef<at::Dimname>)
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyList_New
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyLong_AsLong
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyObject_GetAttr
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyTuple_New
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyType_GenericAlloc
     0.03%  VLLM::EngineCor  python3.10                                         [.] PyType_IsSubtype
     0.03%  VLLM::EngineCor  python3.10                                         [.] _PyObject_GenericSetAttrWithDict
     0.03%  VLLM::EngineCor  python3.10                                         [.] _PyStack_AsDict
     0.03%  VLLM::EngineCor  python3.10                                         [.] _PyType_Lookup
     0.03%  VLLM::EngineCor  python3.10                                         [.] 0x0000000000168940
     0.03%  VLLM::EngineCor  python3.10                                         [.] 0x00000000002a0b49
     0.03%  pt_nccl_watchdg  libtorch_cpu.so                                    [.] c10d::C10dLogger::getLogger()
     0.03%  vllm             _pydantic_core.cpython-310-x86_64-linux-gnu.so     [.] 0x0000000000164b4a
     0.03%  vllm             libc.so.6                                          [.] _int_malloc
     0.03%  vllm             libc.so.6                                          [.] malloc
     0.03%  vllm             libzmq-7b073b3d.so.5.2.5                           [.] zmq_getsockopt
     0.03%  vllm             python3.10                                         [.] PyMem_Free
     0.03%  vllm             python3.10                                         [.] PyObject_CallFinalizerFromDealloc
     0.03%  vllm             python3.10                                         [.] PyType_GenericAlloc
     0.03%  vllm             python3.10                                         [.] _PyDict_GetItemIdWithError
     0.03%  vllm             python3.10                                         [.] _PyObject_GetAttrId
     0.03%  vllm             python3.10                                         [.] _PyObject_MakeTpCall
     0.03%  vllm             python3.10                                         [.] 0x00000000001591ed
     0.03%  vllm             python3.10                                         [.] 0x0000000000184fcf
     0.03%  vllm             python3.10                                         [.] 0x00000000001efe20
     0.03%  vllm             tokenizers.abi3.so                                 [.] <tokenizers::models::PyModel as tokenizers::tokenizer::Model>::id_to_token
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] __fdget
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] __futex_wait
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] __rseq_handle_notify_resume
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] __x64_sys_poll
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] _raw_spin_unlock_irq
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] blkcg_maybe_throttle_current
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] do_futex
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] pvclock_clocksource_read_nowd
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] rseq_update_cpu_node_id
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] schedule_hrtimeout_range_clock
     0.02%  VLLM::EngineCor  [kernel.kallsyms]                                  [k] syscall_exit_to_user_mode
     0.02%  VLLM::EngineCor  _C_stable_libtorch.abi3.so                         [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
     0.02%  VLLM::EngineCor  _C_stable_libtorch.abi3.so                         [.] torch::stable::detail::boxer<void (torch::stable::Tensor&, torch::stable::Tensor const&, torch::stable::Tensor const&, torch::stable::Tensor const&), &(apply_repetition_penalties_(torch::stable::Tensor&, torch::stable::Tensor const&, torch::stable::Tensor const&, torch::stable::Tensor const&))>::boxed_fn(unsigned long*, unsigned long, unsigned long)
     0.02%  VLLM::EngineCor  _core.cpython-310-x86_64-linux-gnu.so              [.] mpack_encode_list
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] LONG_setitem
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] NpyIter_GetIterSize
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_AssignRawScalar
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_CopyObject
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_DiscoverDTypeAndShape
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyArray_FillWithScalar
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyDataMem_GetHandler
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyNumber_Long@plt
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_CheckOverride
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_GenericReduction
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] PyUFunc_ValidateCasting
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _aligned_cast_long_to_int
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _npy_parse_arguments
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] _typenum_fromtypeobj
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_array
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] array_empty
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] get_item_pointer
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] get_view_from_index
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] reducelike_promote_and_resolve
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] signed_integers_is_known_scalar_types
     0.02%  VLLM::EngineCor  _multiarray_umath.cpython-310-x86_64-linux-gnu.so  [.] ufunc_generic_fastcall
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] __GI___pthread_disable_asynccancel
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] __memcmp_evex_movbe
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] __memmove_avx512_unaligned_erms
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] __strlen_evex
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] _int_free
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] cfree@GLIBC_2.2.5
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] getenv
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] malloc_consolidate
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] pthread_rwlock_wrlock@@GLIBC_2.34
     0.02%  VLLM::EngineCor  libc.so.6                                          [.] sem_post@GLIBC_2.2.5
     0.02%  VLLM::EngineCor  libc10.so                                          [.] c10::TensorImpl::copy_tensor_metadata_except_version_counter(c10::TensorImpl const*, c10::TensorImpl*, bool)
